Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
"Lessons from Philippines MPA Management: Social Ecological Interactions, Participation, and MPA Performance","Twichell, J; Pollnac, R; Christie, P","International interest in increasing marine protected area (MPA) coverage reflects broad recognition of the MPA as a key tool for marine ecosystems and fisheries management. Nevertheless, effective management remains a significant challenge. The present study contributes to enriching an understanding of best practices for MPA management through analysis of archived community survey data collected in the Philippines by the Learning Project (LP), a collaboration with United States Coral Triangle Initiative (USCTI), United States Agency for International Development (USAID), and partners. We evaluate stakeholder participation and social ecological interactions among resource users in MPA programs in the Palawan, Occidental Mindoro, and Batangas provinces in the Philippines. Analysis indicates that a complex suite of social ecological factors, including demographics, conservation beliefs, and scientifically correct knowledge influence participation, which in turn is related to perceived MPA performance. Findings indicate positive feedbacks within the system that have potential to strengthen perceptions of MPA success. The results of this evaluation provide empirical reinforcement to current inquiries concerning the role of participation in influencing MPA performance.",2018,,ENVIRONMENTAL MANAGEMENT,61,6,916-927,WOS:000431056200003,10.1007/s00267-018-1020-y,,#19185,Twichell 2018,Exclusion reason: Wrong study design; ,
Building a transnational biodiversity geo-database of the protected areas in the Adriatic-Ionian Macro-Region: approaches and results from the IMPRECO Project,"Zangaro, F; Marini, G; Specchia, V; De Luca, M; Visintin, F; Bullo, G; Richard, J; Salaja, N; Rakar, B; Lipej, B; Mrcelic, JK; Piasevoli, G; Zuljevic, A; Zaimi, N; Bejko, D; Diku, A; Karousou, A; Hatziyanni, E; Pinat, M; Pinna, M","BackgroundThe main objective of the project Common strategies and best practices to IMprove the transnational PRotection of ECOsystem integrity and services - IMPRECO is to enhance the safeguarding of ecosystems and ecosystem services. Additionally, the aim of this project is to tackle their environmental vulnerability by strengthening the potential of the Protected Areas in biodiversity, ecosystems and ecosystem services conservation. This is expected to be addressed by maintaining it through their transnational networking located in the European Adriatic-Ionian Macro-Region.New informationThe aim of this research is: 1) to characterise the habitats and ecosystems involved in the coastal-marine protected areas considered; 2) to set a biodiversity baseline; 3) to understand what current ecosystems' conditions are; 4) to build up a transnational biomonitoring programme of target species and habitats and 5) to assess their response to pilot actions. To do so, a transnational inventory of species, habitats, ecosystems and ecosystem services was established, starting with the seven coastal-marine protected areas involved in the project. Data collection was carried out using different sources of information: scientific literature, officially available data from NATURA 2000 Standard Data Forms, checklists from local biomonitoring programmes, personal observations and citizen science, historical maps and data from new in-field analyses. Data were filled in the transnational biodiversity geo-databases according to the NATURA 2000 standards about habitat features, species protection level and species features. The presence of alien species (non-indigenous species, NIS) was also acknowledged and references about data collection were provided in the databases according to the Darwin Core standards.",2021,,BIODIVERSITY DATA JOURNAL,9,,,WOS:000655331700001,10.3897/BDJ.9.e67169,,#19192,Zangaro 2021,Exclusion reason: Wrong study design; ,
Mass mortality hits gorgonian forests at Montecristo Island,"Turicchia, E; Abbiati, M; Sweet, M; Ponti, M","Mediterranean gorgonian forests are species-rich habitats, and like many other marine habitats they are threatened by anthropogenic disturbances and mass mortality events. These mortality events have often been linked to anomalies in the temperature profiles of the Mediterranean region. On 5 September 2017, colonies of the gorgonians Eunicella singularis and Eunicella cavolini exhibited rapid tissue loss, down to a depth of 30 m along the steep cliffs of Montecristo Island, Tuscan Archipelago National Park, Tyrrhenian Sea, Italy. Interestingly, Montecristo has previously been identified as a reference site for the ecological quality assessment of the western Mediterranean benthic assemblages on rocky bottoms. The observed mortality event occurred during a period of increased sea temperature. By utilising a combination of high-resolution oceanographic analysis, forecast models and citizen science initiatives, we propose that an early warning system for the concomitance of heat waves and mortality events can be put in place. A temperature-based coral disease surveillance tool could then be established for the entire Mediterranean Sea. Such a tool would allow for the timely study of mass mortality phenomena and the implementation of prompt mitigation and/or restoration initiatives. Finally, this specific mortality event, in a Marine Protected Area, offers a unique opportunity to monitor and assess the resilience of gorgonian populations and associated benthic assemblages in the absence of other, more directly, anthropogenic disturbances such as pollution and land runoff.",2018,,DISEASES OF AQUATIC ORGANISMS,131,1,79-85,WOS:000449164200008,10.3354/dao03284,,#19204,Turicchia 2018,Exclusion reason: Wrong study design; ,Proposed
"Combining human preference and biodiversity priorities for marine protected area site selection in Sabah, Malaysia","Teh, LCL; Teh, LSL; Jumin, R","High human reliance on marine resources in developing countries is a challenge for implementing marine protected areas, which usually seek to limit or restrict fishing in selected areas. Fishers' spatial preferences should be considered during the site selection process, but biodiversity considerations are generally the primary focus. The Protected Area Suitability Index (PASI) is a fuzzy logic spatial planning tool that combines human preferences and conservation criteria to assess the suitability of marine sites for being protected from fishing and other extractive use. We apply the PASI in zoning a marine sanctuary in Sabah, Malaysia, with the objectives of (i) assessing the PASI's ability to capture fishers' spatial preferences; and (ii) comparing the nuances of community based and fuzzy logic approaches in spatial planning. There was overlap in sites chosen for protection by both approaches, and multi-dimensional scaling results suggest that the PASI captures fishers' preferences. Community consultations enable direct integration of local knowledge to fill gaps in scientific knowledge, but can be time consuming and expensive. The PASI is an alternative to data and labour intensive conservation planning tools that are currently available, and can be particularly useful for zoning marine protected areas in data poor developing countries where conservation requires quick action. (C) 2013 Elsevier Ltd. All rights reserved.",2013,,BIOLOGICAL CONSERVATION,167,,396-404,WOS:000328804300046,10.1016/j.biocon.2013.09.002,,#19210,Teh 2013,Exclusion reason: Wrong study design; ,
Community conserved areas: policy issues in historic and contemporary context,"Berkes, F","Indigenous and community conserved areas (ICCAs) are natural and/or modified ecosystems containing biodiversity values, ecological services, and cultural values, voluntarily conserved by indigenous and other communities through local or customary laws. They are found in both terrestrial and marine areas; they range in size from <1 ha sacred groves to >30,000 km(2) indigenous territories in Brazil. ICCAs should be recognized for what they may contribute to national and global conservation systems, but there is little documentation of their potential or discussion of their policy implications. Here I examine the historic and contemporary context of ICCAs, provide examples, and raise policy issues related to: assessing the conservation benefits of ICCAs, integrating traditional knowledge into protected area management, finding the right mix of governance regimes, and dealing with challenges faced by them.",2009,,CONSERVATION LETTERS,2,1,19-24,WOS:000279223300003,10.1111/j.1755-263X.2008.00040.x,,#19224,Berkes 2009,Exclusion reason: Wrong study design; ,
Co-management and adaptive co-management: Two modes of governance in a Honduran marine protected area,"Bown, NK; Gray, TS; Stead, SM","Selecting the best mode of governance for marine protected areas (MPAs) especially in developing countries has generated considerable controversy in the academic and policy literature during the last 20 years. In this article, two modes - co-management (CM) and adaptive co-management (ACM) - are analysed in detail, and an examination is made of an attempt to put these modes sequentially into practice in the first (2003-2009) and second (2008-2013) management plans, respectively, of the Cayos Cochinos MPA (CCMPA) in Honduras. Extensive fieldwork was carried out during 2006-2010 in three communities dependent on the CCMPA (Rio Esteban, Nueva Armenia, and Chachahuate) including key informant interviews, focus group meetings, household surveys, and participant observation. The paper's findings are (1) that while the first plan implemented some CM principles (such as sharing responsibility between government, stakeholders and NGOs) it failed to deliver other CM principles (such as transparency and accountability); and (2) that while the second plan increased participation and transparency, and used a more adaptive approach, it still left many stakeholders out of the decision-making process, and its processes of experimentation, monitoring and social learning were very limited. The fact is that CM and ACM are laudable objectives, but very difficult to implement in full. (C) 2012 Elsevier Ltd. All rights reserved.",2013,,MARINE POLICY,39,,128-134,WOS:000317456100015,10.1016/j.marpol.2012.09.005,,#19233,Bown 2013,Exclusion reason: Wrong study design; ,
Gaining Legitimacy and Losing Trust: Stakeholder Participation in Ecological Risk Assessment for Marine Protected Area Management,"Treffny, R; Beilin, R","This study examines the application of a qualitative Ecological Risk Assessment (ERA) tool to initiate management planning and community engagement in newly legislated Marine Protected Areas. Scientists and the agency expected the participatory element to increase the legitimacy of management by achieving consensus about management priorities as well as to engender trust in science and agency procedures. We point to the complex nature of participatory engagement when expert and lay knowledge are combined while an agency's claim to legitimacy rests on scientific judgements. While community engagement offered agency staff an additional way to claim legitimacy it also challenged the way planners, rangers as well as community representatives previously attained trust.",2011,,ENVIRONMENTAL VALUES,20,3,417-438,WOS:000293438800009,10.3197/096327111X13077055166144,,#19241,Treffny 2011,Exclusion reason: Wrong study design; ,
"Detecting, counting and following the giants of the sea: a review of monitoring methods for aquatic megavertebrates in the Caribbean","Castelblanco-Martinez, DN; Blanco-Parra, MP; Charruau, P; Prezas, B; Zamora-Vilchis, I; Nino-Torres, CA","The Caribbean is a mega-diverse and bio-geographically important region that consists of the Caribbean Sea, its islands, and surrounding coastlines. Among the billions of aquatic species inhabiting this region, the mega-vertebrates stand out for their social, economic and ecologic relevance. However, the Caribbean has been threatened by climate change, poverty, pollution, environmental degradation and intense growth of the tourism industry, affecting megafauna species directly and indirectly. Population monitoring plays a critical role in an informed conservation process and helps guide management decisions at several scales. The aim of the present review was to critically examine the methods employed for monitoring marine megafauna in the Caribbean, so as to create a framework for future monitoring efforts. In total, 235 documents describing protocols for the monitoring of sirenians, cetaceans, elasmobranchs, sea turtles and crocodilians in the Caribbean region, were reviewed. The methods included community-based monitoring (interviews, citizen science and fisheries monitoring), aerial surveys (by manned and unmanned aerial vehicles), boat-based surveys (including manta tow, and side-scan sonars), land-based surveys, acoustic monitoring, underwater surveys, baited remote underwater video, mark-recapture, photo-identification and telemetry. Monitoring efforts invested on aquatic megafauna in the Caribbean have been highly different, with some species and/or groups being prioritised over others. The present critical review provides a country-based overview of the current and emerging methods for monitoring marine megafauna and a critical evaluation of their known advantages, disadvantages and biases.",2019,,WILDLIFE RESEARCH,46,7,545-556,WOS:000493548200001,10.1071/WR19008,,#19276,Castelblanco-Martinez 2019,Exclusion reason: Wrong study design; ,
Comparing and Integrating Community-Based and Science-Based Approaches to Prioritizing Marine Areas for Protection,"Ban, NC; Picard, CR; Vincent, ACJ","We compared and integrated marine protected areas proposed through community and scientific assessments in 2 regions of British Columbia, Canada. The community priorities were identified during individual and group interviews with knowledgeable resource users. The scientific priorities were developed with abiotic and biotic data in Marxan, a decision-support tool. The resulting maps of community-based and science-based priorities were very similar for the inshore areas, which lent credibility to both approaches. The resource users thought the science-based maps were fairly good at highlighting areas important for conservation, but preferred the scenarios that integrated the 2 maps to either constituent map. Incorporating spatial variation in human impacts on the marine areas and commercial fishing, which are both costs of protection, into our Marxan analyses led to scenarios that were different from either constituent map. Our results show the value of integrating community-based and science-based approaches in conservation planning to achieve community acceptance and conservation utility. They also reveal that people's assessments on the basis of their traditional ecological knowledge may serve as a reasonable proxy for scientific approaches in selecting areas of ecological value.",2009,,CONSERVATION BIOLOGY,23,4,899-910,WOS:000268028800021,10.1111/j.1523-1739.2009.01185.x,,#19278,Ban 2009,Exclusion reason: Wrong study design; ,
Holistic investigation of shore angler profiles to support marine protected areas management,"Cambra, E; Bello, A; Kayal, M; Lenfant, P; Vasseur, L; Verdoit-Jarraya, M","Marine Recreational Fishing (MRF) is growing worldwide in scientific interest, as evidenced by the increasing number of dedicated publications. Studies on the impacts and benefits to socio-ecosystems and mental health are driving this gradual awareness. In the Mediterranean, MRF is currently responsible for 10% of the catches though, in the context of small-scale fisheries decline, it may become dominant. Sustaining this activity represents a universal challenge for the future of mankind. However, the potential influence of anglers? heterogeneity on both the environment and the Catch Per Unit of Effort (CPUE), used internationally to evaluate fish harvest and as a stocks indicator, hinders MRF management. In addition, little data is available on onshore fishing, while the number of practitioners may increase sharply in the context of a socio-economic crisis, especially in marine protected areas (MPA). We conducted a year-round survey in 2017?2018 in a French Mediterranean MPA subject to tourist flows, during which 144 onshore anglers were polled by semi-directive interviews. We used a typology based on technical and socio-economic data of anglers to describe their behaviour diversity and its influence on CPUE and, more broadly, the marine environment in multi-species fisheries. We characterised four onshore angler profiles, segregated in space and time, including one identified as at risk of causing impacts. Our analyses support using total and per species CPUE independently of profiles to evaluate onshore MRF harvest, except for four species. CPUE seem based on the profiles? skills and self-regulation which induce similar yields between anglers in the absence of control. This demonstrates the importance of taking into account angler behaviour, as each profile could react differently to management actions and highlights that CPUE could be used to detect the effect of changes in regulation in the framework of adaptive management. Our results support that MRF regulations should be simplified and homogenised at the national level and cooperation with fishing shops in MPA co management should be promoted.",2021,,JOURNAL OF ENVIRONMENTAL MANAGEMENT,285,,,WOS:000632613900001,10.1016/j.jenvman.2021.112089,,#19282,Cambra 2021,Exclusion reason: Wrong study design; ,
