Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
Citizen science monitoring of marine protected areas: Case studies and recommendations for integration into monitoring programs,"Freiwald, J; Meyer, R; Caselle, JE; Blanchette, CA; Hovel, K; Neilson, D; Dugan, J; Altstatt, J; Nielsen, K; Bursek, J","Ecosystem-based management and conservation approaches such as marine protected areas (MPAs) require large amounts of ecological data to be implemented and adaptively managed. Recently, many citizen science programs have endeavored to help provide these much-needed data. Implementation of MPAs under the Marine Life Protection Act (MLPA) Initiative in Southern California was followed by a monitoring program to establish a comprehensive baseline of the ecological conditions of several marine ecosystems at the time of MPA implementation. This baseline monitoring consortium involved several citizen science monitoring programs alongside more traditional academic monitoring programs, creating an opportunity to evaluate the potential for citizen scientists to become more involved in future long-term monitoring efforts. We investigated different citizen science models, their program goals, and contributions to MPA baseline monitoring, including their respective monitoring protocols and data quality assurance measures, in the context of the goals of the MLPA baseline monitoring program. We focused on three very different case studies: (i) commercial fishermen and other volunteers collaborating with researchers to study the California spiny lobster, (ii) volunteer divers monitoring rocky reefs with the Reef Check California (RCCA) program and (iii) middle and high school students monitoring the inter-tidal life of rocky shore and sandy beach ecosystems with the National Marine Sanctuaries' Long-term Monitoring Program and Experiential Training for Students (LiMPETS) program. We elucidate capacities and potential of citizen science approaches for MPA baseline monitoring and for building capacity towards sustainable long-term monitoring of MPAs. Results from this study will be relevant and timely as the monitoring of California's MPAs transitions from baseline to long-term monitoring, and as citizen science continues to become more prevalent in California and elsewhere.",2018,,MARINE ECOLOGY-AN EVOLUTIONARY PERSPECTIVE,39,,,WOS:000434150100002,10.1111/maec.12470,,#19184,Freiwald 2018,,
Can citizen science contribute to fish assemblages monitoring in understudied areas? The case study of Tunisian marine protected areas,"Ben Lamine, E; Di Franco, A; Romdhane, MS; Francour, P","Resource monitoring is a key issue in ecosystem management especially for marine protected areas (MPAs), where information on the composition and structure of fish assemblages is crucial to design a sound management plan. Data on fish assemblage are usually collected using Underwater Visual Censuses (UVC). However, fish assemblages monitoring in MPAs usually calls for considerable resources in terms of costs, time and technical/scientific skills. Financial resources and trained scientific divers may, however, not be available in certain geographical areas, that are thus understudied. Therefore, involving citizen volunteer divers in fish assemblage monitoring and adopting easy-to-use underwater visual census methods could be an effective way to collect crucial data. Citizen science can be used only if it can provide information that is consistent with that collected using standard scientific monitoring. Here, we aim to: 1) compare the consistency of results from a Standard scientific UVC (S-UVC) and an Easy-to-use UVC (E-UVC) method in assessing fish assemblage spatial variability, and 2) test the consistency of data collected by Scientific Divers (SD) and Scientifically Trained Volunteer divers (STV), using E-UVC. We used, in two consecutive years, three Tunisian future Marine Protected Areas (MPAs) and adjacent areas as case studies. E-UVC and S-UVC data were consistent in highlighting the same spatial patterns for the three MPAs (between MPAs and, inside and outside each one). No significant difference was recorded between data collected by SD or STV. Our results suggest that E-UVC can provide information representing simplified proxies for describing fish assemblages and can therefore be a valuable tool for fish monitoring by citizen divers in understudied areas. This evidence could foster citizen science as an effective tool to raise environmental awareness and involve stakeholders in resource management. (C) 2017 Elsevier Ltd. All rights reserved.",2018,,ESTUARINE COASTAL AND SHELF SCIENCE,200,,420-427,WOS:000424308600037,10.1016/j.ecss.2017.11.031,,#19186,BenLamine 2018,,
The Reef Check Med Dataset on Key Mediterranean Marine Species 2001-2020,"Turicchia, E; Ponti, M; Rossi, G; Cerrano, C",,2021,,FRONTIERS IN MARINE SCIENCE,8,,,WOS:000726152700001,10.3389/fmars.2021.675574,,#19187,Turicchia 2021,,
Long-term participation in collaborative fisheries research improves angler opinions on marine protected areas,"Mason, ET; Kellum, AN; Chiu, JA; Waltz, GT; Murray, S; Wendt, DE; Starr, RM; Semmens, BX","Recent marine spatial planning efforts, including the management and monitoring of marine protected areas (MPAs), increasingly focus on the importance of stakeholder engagement. For nearly 15 years, the California Collaborative Fisheries Research Program (CCFRP) has partnered volunteer anglers with researchers, the fishing industry, and resource managers to monitor groundfishes in California's network of MPAs. While the program has succeeded in generating sustained biological observations, we know little about volunteer angler demography or the impact of participation on their perceptions and opinions on fisheries data or MPAs. In this study we surveyed CCFRP volunteers to learn about (a) volunteer angler demographics and attitudes toward groundfish management and stock health, (b) volunteer angler motivations for joining and staying in the program, and (c) whether participation in the program influenced volunteer angler opinions on the quality of fisheries data used in resource management and the establishment of MPAs in California. CCFRP volunteers were older and had higher fishing avidity than average within the California recreational angling community. Many self-identified as more conservation-minded than their peers in the recreational fishing community and had positive views of California groundfish management and stock health. Participation in science and giving back to fisheries resources were major motivating factors in their decision to become and remain CCFRP volunteers. Angler opinions toward MPAs were more positive after volunteering with CCFRP. Those who had volunteered for seven or more years with CCFRP were more likely than not to gain a positive opinion of MPAs. Our survey results provide evidence that long-term engagement of stakeholders in collaborative research positively influences stakeholder opinions regarding marine resource management, and highlights CCFRP's success in engaging citizen science stakeholders in collaborative fisheries research.",2020,,PEERJ,8,,,WOS:000582667900001,10.7717/peerj.10146,,#19189,Mason 2020,,
Evaluating the potential of photo-identification as a monitoring tool for flapper skate (Dipturus intermedius),"Benjamins, S; Dodd, J; Thorburn, J; Milway, VA; Campbell, R; Bailey, DM","Flapper skates (Dipturus intermedius) were once widespread in European shelf waters but are currently classified as critically endangered by the International Union for Conservation of Nature due to historical overexploitation. Novel monitoring approaches are needed to assess the efficacy of management measures, such as dedicated marine protected areas, for the conservation of relict skate populations. Flapper skates possess distinctive dorsal spot patterns, which could potentially be used for individual recognition using photo-identification (photo-ID) approaches. This study assessed the potential of photo-ID as a method for individual recognition of a relict population of skates within a dedicated marine protected area in western Scotland (UK), which has long been targeted by directed recreational angling. A collection of 486 photographs of 373 separate skate capture events from 2011 to 2016, taken with standard mobile phones and compact cameras, was studied using visual pairwise comparison methods to determine number of individuals and recapture rates. Results indicated that adult flapper skates were individually recognizable with a high degree of certainty through comparison of spot patterns, assuming appropriate lighting conditions. A total of 226 individuals were identified, of which 77 (34%) were recaptured at least once. The average recapture interval was 308 days (SE: 29.4 days), with the longest recapture interval to date being 4.4 years. Spot patterns among recaptured tagged or otherwise uniquely identifiable skates were found to remain stable over timescales of months to >1 year. Results indicate that photo-ID, based on photographs sourced through citizen science approaches, can provide a low-cost alternative means of monitoring flapper skate presence and distribution for the purposes of underpinning management decisions.",2018,,AQUATIC CONSERVATION-MARINE AND FRESHWATER ECOSYSTEMS,28,6,1360-1373,WOS:000453874900010,10.1002/aqc.2937,,#19193,Benjamins 2018,,
"Toward a sustainable Iceland scallop fishery in Gilbert Bay, a marine protected area in the eastern Canada coastal zone","Wroblewski, JS; Bell, TJ; Copeland, AI; Edinger, EN; Feng, CY; Saxby, JD; Schneider, DC; Simms, JM","Iceland scallop (Chlamys islandica) stocks in the North Atlantic are usually pulse harvested, resulting in boom and bust local landings. We describe an adaptive management strategy for a sustainable harvest of Iceland scallops in Gilbert Bay, a Marine Protected Area (MPA) of coastal Labrador. The current management plan for the MPA closes pristine scallop habitat, a practice that under favourable ocean conditions may lead to local reseeding. The community-based co-management structure for the MPA utilizes the local ecological knowledge of fishermen. Scallop harvesters are participating in research on the present state of the resource. Currently scallops are smaller near the mouth of the bay where fishing effort has been concentrated historically. The cooperation of fishers in enforcing area closures and in monitoring the scallop harvest may lead to a sustainable scallop fishery. (C) 2008 Elsevier Ltd. All rights reserved.",2009,,JOURNAL OF CLEANER PRODUCTION,17,3,424-430,WOS:000262232200014,10.1016/j.jclepro.2008.08.004,,#19194,Wroblewski 2009,,
Evaluating the management effectiveness of marine protected areas at seven selected sites in the Philippines,"Tupper, M; Asif, F; Garces, LR; Pido, MD","Fisheries is a vital sector in the Philippine economy, providing a significant source of both domestic and export earnings while meeting essential food security and nutritional requirements. However, marine resources in the Philippines are facing increasing pressure from overfishing, destructive fishing practices, habitat destruction, declining water quality and limited management capacity. Marine Protected Areas (MPAs) are part of the management strategy to address these issues but the majority of MPAs around the world do not meet their management objectives. This paper discusses the identification and testing of management effectiveness indicators to evaluate MPA management for seven sites in the Philippines. The selection of 14 indicators was a participatory process that involved representatives from the academe, civil society groups, fishing associations, local government units (LGUs), national government agencies and research institutions. Overall, the majority of the indicators are rated positive but there is significant room for improvement, particularly in areas of resource use conflict, availability and allocation of resources and interaction between MPA managers and stakeholders. It is imperative that MPAs across the Philippines be managed and implemented as a network to maximize conservation and fisheries management. Moreover, given that the Philippines lies in the Coral Triangle area of the highest marine biodiversity in the world, increased political will and support for MPAs is urgently needed to meet global marine biodiversity targets and allow the Philippines to be an example of effective marine biodiversity conservation. (C) 2015 Elsevier Ltd. All rights reserved.",2015,,MARINE POLICY,56,,33-42,WOS:000356750500005,10.1016/j.marpol.2015.02.008,,#19202,Tupper 2015,,
Participatory socioeconomic analysis: drawing on fishermen's knowledge for marine protected area planning in California,"Scholz, A; Bonzon, K; Fujita, R; Benjamin, N; Woodling, N; Black, P; Steinback, C","The purpose of this pilot study was to test the utility of geospatial analysis tools for eliciting and integrating fishermen's(1) knowledge into marine protected area (MPA) planning processes in California, United States. A participatory design yielded 30 local knowledge interviews that were coded for socioeconomic and biodiversity information. The resulting information is useful in understanding past conflicts around MPA siting proposals and for identifying likely sources of agreement and disagreement. Products include a protocol for rapid socioeconomic assessment a database of fishermen's knowledge and information; and a geographic information system for further use in California's MPA planning process. (C) 2003 Elsevier Ltd. All rights reserved.",2004,,MARINE POLICY,28,4,335-349,WOS:000220948600005,10.1016/j.marpol.2003.09.003,,#19203,Scholz 2004,,
Citizen science helps assessing spatio-temporal distribution of sea turtles in foraging areas,"Casale, P; Ciccocioppo, A; Vagnoli, G; Rigoli, A; Freggi, D; Tolve, L; Luschi, P","Spatio-temporal distribution is fundamental information for species of conservation concern, like sea turtles, that are threatened by anthropogenic activities at sea such as fishing. While coarse-scale distribution information is available for several sea turtle populations, fine-scale distribution informing on hot-spot areas for spatial management is more difficult to obtain. Here a citizen science approach involving tourism boats was undertaken to investigate the spatio-temporal distribution of the loggerhead sea turtle (Caretta caretta) in the Pelagie Archipelago, located in a major foraging area for this species in the Mediterranean and where high fishing-induced mortality occurs. The study was designed to provide data of absence and total sampling effort, commonly under-reported in citizen science studies, allowing comparison among zones and periods. This was complemented by reports from fishing vessels. Tourism boats reported 584 loggerhead turtle sightings during 1718 daily trips and fishing vessels reported 280 loggerhead turtles captured during 1040 fishing days. The results indicate a strong heterogeneous distribution in the Archipelago, with a low turtle occurrence around the main island, Lampedusa, where the highest human presence and activity occur. This may represent rare evidence of displacement behaviour of turtles that is worth further investigation. This also suggests that the current small marine protected area around Lampedusa has a low conservation impact. Zones with higher loggerhead turtle occurrence appear to be in the south and the west parts of the Archipelago, suggesting that spatial management would be possible when relatively small hot-spots have been identified through specific surveys. This study shows the potential of citizen science for providing preliminary information to guide more demanding and specific investigations. Such an approach may tremendously and rapidly improve the current knowledge on fine-scale sea turtle distribution in regions with a great extension of coastlines and intensive tourist activities, such as the Mediterranean.",2020,,AQUATIC CONSERVATION-MARINE AND FRESHWATER ECOSYSTEMS,30,1,123-130,WOS:000486182300001,10.1002/aqc.3228,,#19205,Casale 2020,,
Towards ecological and social impact through collaborative governance of a seascape of marine protected areas in Honduras,"Steadman, D","Protecting marine biodiversity and ensuring sustainable use through a seascape approach is becoming increasingly widespread in response to the ecological, social and institutional challenges of scaling ocean management. A seascape approach means clustering spatial management measures (marine protected areas) based around the principles of ecological connectivity, and developing or enhancing collaborative governance networks of relevant stakeholders (managers, community groups, non-governmental organizations) based around the principles of social connectivity. As with other large-scale approaches to marine management, there is minimal evidence of long-term impact in seascapes. This study uses a theory-based, participatory impact evaluation to assess perceived changes attributed to the Atlantida seascape in Honduras (initiated in 2015), encompassing three well-established marine protected areas and the non-legally managed waters between them. Using an adapted most significant change method, 15 interviews with a representative subset of seascape stakeholders yielded 165 stories of change, the majority (88%) of which were positive. Enhanced social capital, associated with cross-sectoral collaboration, inter-site conflict resolution and shared learning, was the most consistently expressed thematic change (32% of stories). Although most stories were expressed as activity- or output-related changes, a small proportion (18%) were causally linked to broader outcomes or impact around increased fish and flagship species abundance as well as interconnected well-being benefits for people. Although minimal (and occasionally attributed to prior initiatives that were enhanced by the seascape approach), this impact evidence tentatively links seascapes to recent related research around the effectiveness of appropriately scaled, ecosystem-based and collaboratively governed marine management that balances strict protection with sustainable use.",2021,,ORYX,55,4,507-518,WOS:000669896600017,10.1017/S0030605320001155,,#19207,Steadman 2021,,
