Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
Blue carbon in area-based coastal and marine management schemes - a review,"Moraes, O","Blue carbon ecosystems are diverse and highly productive coastal habitats (mangroves, seagrasses, and tidal marshes) that sequester large quantities of carbon and provide a suite of important ecosystem services (co-benefits') for humans and the environment. These ecosystems are being threatened globally due to land-use change driven by expanding agriculture, aquaculture, coastal development, and pollution. Climatic impacts further threaten the resilience, functionality, and adaptability of blue carbon ecosystems. Marine protected areas' (MPAs) provide a statutory approach for protecting coastal and marine ecosystems, yet are unlikely to meet additionality' requirements. Whereas other effective conservation measures (OECMs) including community-based locally managed marine areas' (LMMAs) provide opportunities to enhance blue carbon conservation and restoration efforts. LMMAs likely deliver additional sequestration, although ensuring permanence' of carbon stocks may be more difficult to achieve. This review summarizes key approaches of blue carbon monitoring; governance systems; policy instruments; and investment pathways for conservation and restoration.",2019,,JOURNAL OF THE INDIAN OCEAN REGION,15,2,193-212,WOS:000478101200006,10.1080/19480881.2019.1608672,,#19183,Moraes 2019,,
Exploring Social Resilience in Madagascar's Marine Protected Areas,"Cinner, J; Fuentes, MMPB; Randriamahazo, H","We examined and compared aspects of local-level resilience in 13 coastal communities within and adjacent to all of Madagascar's national marine protected areas. Our examination of social resilience focused on indicators of the flexibility of household livelihood portfolios and both formal and informal governance institutions, the capacity of communities to organize, their capacity to learn, and access to household assets and community infrastructure. In general, we found high levels of flexibility in formal institutions and livelihood portfolios and high levels of participation in decision-making and community groups. Together, these indicators suggest some latent capacity to adaptively manage resources, but this capacity may be offset by poor levels of trust between communities and resource managers, a poor understanding of the ways in which humans affect marine resources, inadequate feedback of ecological monitoring to communities, inflexibility in informal governance institutions, and a lack of assets to draw upon. We suggest that building desirable resilience in Madagascar's marine protected areas will require the following: investments in community-level infrastructure, projects to generate household income, and enhanced agricultural production to improve the well-being of communities; improvements in the capacity to learn through investments in formal and informal education; enhanced trust between park staff and local communities; empowerment of communities to govern and enforce natural resources; the increased accountability of leaders and transparency of governance processes; adequate cross-scale interaction with local, provincial, and national institutions; and the pursuit of these activities in ways that capitalize on community-specific strengths, such as high flexibility and the presence of sociocultural institutions such as taboos that regulate resource use.",2009,,ECOLOGY AND SOCIETY,14,1,,WOS:000267846300030,,,#19188,Cinner 2009,,
Understanding and valuing conflicts in marine protected areas: The best way to develop innovations?,"Beuret, JE; Cadoret, A; Pothin, K; Barnay, AS; Le Bihan, O; Sevin Allouet, MA","Marine protected areas face numerous conflicts associated with the implementation of conservation measures. These conflicts generate costs, prevent progress, make cooperation between stakeholders difficult and create risks of ineffectiveness. Although they are often concealed or circumvented, they also offer opportunities for new connections and collective innovation. Rather than leaving them to these kinds of avoidance strategies, conflicts were the subject of a Knowledge Cafe event at the Fourth International Marine Protected Area Congress to compare the perspectives of managers, decision-makers and scientists on dealing with conflict. This contribution presents the conceptual framework for discussions during and after the Fourth International Marine Protected Area Congress and the operational and research avenues they open up. Cross-referencing the results of this collective approach and research contributions makes it possible to characterize the diversity and complexity of conflicts in marine protected areas and the driving forces behind them and analyse resolution strategies. Instead of avoidance strategies, the causes and consequences of the idea of understanding and valuing conflicts is explored, along with operational approaches to achieving this.",2019,,AQUATIC CONSERVATION-MARINE AND FRESHWATER ECOSYSTEMS,29,,212-222,WOS:000491946500018,10.1002/aqc.3070,,#19190,Beuret 2019,,
Science Diplomacy: Strategic Initiative to Create a Buffer Zone in the Caribbean Colombian Marine Protected Area Seaflower,"Ramirez-Cabrales, F; Forero, SIR","It recognized the science diplomacy as a path to address national and common interest related to marine spaces declared as human heritage areas. Science diplomacy is an instrument that allows scientific cooperation between states and international organizations, and stakeholders interested in to obtain scientific evidence to the decision-making process at the political level in all senses. The Specially Protected Areas And Wildlife to the Convention for the Protection and Development of the Marine Environment of the Wider Caribbean Region (SPAW) Protocol is the main instrument to evaluate the possible course of action that allows us to propose the implementation of this initiative. To do so, it is necessary to consider aspects as sovereignty and maritime jurisdiction of state parties and non-state parties. Besides, are considered threats related to maritime transport. It analyzed the geographical conditions and the managerial institutions and stakeholders that participate in the management. Also, the uses of this strategic marine space within the Colombian Caribbean Sea are reviewed. The aim is to address the possibility to create a buffer zone in the boundary of the Marine Protected Area (MPA) Seaflower considering the borders of the Seaflower biosphere reserve.",2020,,DEVELOPMENTS AND ADVANCES IN DEFENSE AND SECURITY,152,,345-359,WOS:000502762900028,10.1007/978-981-13-9155-2_28,,#19191,Ramirez-Cabrales 2020,,
"Science, Policy Advocacy, and Marine Protected Areas","Gray, NJ; Campbell, LM","Much has been written in recent years regarding whether and to what extent scientists should engage in the policy process, and the focus has been primarily on the issue of advocacy. Despite extensive theoretical discussions, little has been done to study attitudes toward and consequences of such advocacy in particular cases. We assessed attitudes toward science and policy advocacy in the case of marine protected areas (MPAs) on the basis of a survey of delegates at the First International Marine Protected Areas Congress. Delegates were all members of the international marine conservation community and represented academic, government, and nongovernmental organizations. A majority of respondents believed science is objective but only a minority believed that values can be eliminated from science. Respondents showed only partial support of positivist principles of science. Almost all respondents supported scientists being integrated into MPA policy making, whereas half of the respondents agreed that scientists should actively advocate for particular MPA policies. Scientists with a positivist view of science supported a minimal role for scientists in policy, whereas government staff with positivist beliefs supported an advocacy or decision-making role for scientists. Policy-making processes for MPAs need to account for these divergent attitudes toward science and advocacy if science-driven and participatory approaches are to be reconciled.",2009,,CONSERVATION BIOLOGY,23,2,460-468,WOS:000264272000030,10.1111/j.1523-1739.2008.01093.x,,#19195,Gray 2009,,REVIEW ARTICLE
"Building trust among marine protected area managers and community members through scientific research: Insights from the Ningaloo Marine Park, Australia","Cvitanovic, C; van Putten, EI; Hobday, AJ; Mackay, M; Kelly, R; McDonald, J; Waples, K; Barnes, P","The success of participatory marine governance arrangements is influenced by the levels of trust that exist between decision-makers and diverse stakeholder groups within the community. While the benefits of high levels of trust among these groups is well established, specific approaches to building trust remain largely unknown. The aim of this study is to understand the extent to which scientific research programs can enhance trust among marine protected area (MPA) managers and community members via an evaluation of the Ningaloo Research Program - a large-scale program of marine research in the Ningaloo Marine Park. Results from a survey of 125 local residents show that community members along the Ningaloo coast believe that scientific research is important for the management of the marine park, and strongly support government investment in scientific research in the region. Results also suggest that science undertaken through the Ningaloo Research Program has increased the extent to which community members trust local managers, which study participants believe has led to improved social and environmental outcomes in the region. Finally, additional opportunities are identified to maintain and further enhance trust between community members and MPA managers, via targeted communication and engagement programs that account for different personality 'types'. In particular, the establishment of citizen science programs might further build trust. These results suggest that scientific research could be used as a means to increase trust among decision-makers and community members when coupled with an effective communication and outreach program, thus enhancing the success of participatory marine governance arrangements.",2018,,MARINE POLICY,93,,195-206,WOS:000434752900023,10.1016/j.marpol.2018.04.010,,#19196,Cvitanovic 2018,,
"Development of an environmental performance indicator framework to evaluate management effectiveness for Jiaozhou Bay Coastal Wetland Special Marine Protected Area, Qingdao, China","Wu, W; Yan, SQ; Feng, RY; Song, DH; Chen, XX","The management effectiveness of Marine Protected Areas (MPAs) has gained more and more attentions with an increasing research interest worldwide. An Environmental Performance Indicator (EPI) framework is considered to be a good means for MPAs' management planning and assessment. As a peculiar type of MPAs with Chinese characteristics, Special Marine Protected Area (SMPA) is still at an imperfect stage in terms of its operation and management in China. There is a scarcity of research evidence of SMPAs' management and its effectiveness evaluation as well. Focusing on this relatively new research field, this paper aims to establish a conceptual model and an operable EPI framework for examining SMPA's day-to-day management and evaluating its management effects, using Jiaozhou Bay Coastal Wetland SMPA (JZBCWSMPA), the first SMPA of Qingdao, as a case study. The evaluation model and indicator framework are developed via a comprehensive approach taking basic management ideas, international well-known model, widely used indicator frameworks and specific features of the study area into consideration. An expert ranking procedure is also conducted to aggregate the initial indicators. The innovative features of this framework are described, such as it is not only a systematic framework incorporating various kinds of indicators but also specifically practicable for the study area. It is expected that the research outcomes will provide technical supports for JZBCWSMPA's management effectiveness evaluation (MEE) and scientific references for decision-making and guiding for Qingdao's social economic sustainable development. (C) 2017 Elsevier Ltd. All rights reserved.",2017,,OCEAN & COASTAL MANAGEMENT,142,,71-89,WOS:000401390600007,10.1016/j.ocecoaman.2017.03.021,,#19197,Wu 2017,,
Adaptive Comanagement of a Marine Protected Area Network in Fiji,"Weeks, R; Jupiter, SD","Adaptive management of natural resources is an iterative process of decision making whereby management strategies are progressively changed or adjusted in response to new information. Despite an increasing focus on the need for adaptive conservation strategies, there remain few applied examples. We describe the 9-year process of adaptive comanagement of a marine protected area network in Kubulau District, Fiji. In 2011, a review of protected area boundaries and management rules was motivated by the need to enhance management effectiveness and the desire to improve resilience to climate change. Through a series of consultations, with the Wildlife Conservation Society providing scientific input to community decision making, the network of marine protected areas was reconfigured so as to maximize resilience and compliance. Factors identified as contributing to this outcome include well-defined resource-access rights; community respect for a flexible system of customary governance; long-term commitment and presence of comanagement partners; supportive policy environment for comanagement; synthesis of traditional management approaches with systematic monitoring; and district-wide coordination, which provided a broader spatial context for adaptive-management decision making.",2013,,CONSERVATION BIOLOGY,27,6,1234-1244,WOS:000327564300012,10.1111/cobi.12153,,#19198,Weeks 2013,,
A governance analysis of Guatemala's first recognized marine protected area: The Wildlife Refuge of Punta de Manabique (RVSPM),"Gonzalez-Bernat, MJ; Clifton, J","This paper examines governance effectiveness of the Wildlife Refuge of Punta de Manabique (RVSPM), the first recognized marine protected area in Guatemala. The analysis follows the Marine Protected Area Governance (MPAG) empirical framework through the use of incentives (economic, interpretative, knowledge, legal and participative) that evaluate the effectiveness of governance. Our results highlight that strategic alliances between some local communities and NGOs have successfully provided economic and participatory incentives for better management. However, efforts to develop an integrated or collaborative management system that promotes sustainable resource use across all stakeholder groups have failed. As a result, environmental degradation is increasing at an alarming rate, set against a backdrop of declining management effectiveness. Under this scenario, future prospects for governance should revise participatory incentives and strengthen legal incentives, which should be backed by strong political will. In addition, efforts should continue to foster opportunities for regional collaborations as an essential element for improved governance of the RVSPM and as a foundation to effectively manage natural and cultural resources in the wider Mesoamerican Reef region.",2021,,MARINE POLICY,127,,,WOS:000663338000007,10.1016/j.marpol.2019.103626,,#19199,Gonzalez-Bernat 2021,,
"Designing a resilient network of marine protected areas for Kimbe Bay, Papua New Guinea","Green, A; Smith, SE; Lipsett-Moore, G; Groves, C; Peterson, N; Sheppard, S; Lokani, P; Hamilton, R; Almany, J; Aitsi, J; Bualia, L","The Nature Conservancy takes a strategic and systematic approach to conservation planning. Ecoregional assessments are used to set goals and identify geographical priorities, and Conservation Action Planning is used to develop strategic plans for conservation areas. This study demonstrates how these planning processes were applied at the seascape scale based on a case study of Kimbe Bay, Papua New Guinea. Conservation Action Planning was used to identify key threats and strategies, and systematic conservation planning (similar to that used for ecoregional assessments) was used to design a network of marine protected areas to be resilient to the threat of climate change. The design was based on an assessment of biodiversity and socio-economic values, and identified 14 Areas of Interest that meet specific conservation goals. A detailed community-based planning process is now underway with local communities that own and manage these areas to refine and implement the marine protected area network.",2009,,ORYX,43,4,488-498,WOS:000271732400008,10.1017/S0030605309990342,,#19200,Green 2009,,
